Path,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30
Path_27,15.1671,15.0300,15.2149,15.1282,15.9081,16.1902,16.2500,15.8968,15.4632,16.2138,16.1953,16.4661,16.5815,16.5472,16.5472,16.1026,15.9159,15.7629,15.3883,15.3056,14.3864,13.4612,13.4450,13.2704,13.8736,13.9156,13.7089,13.6315,13.5134,13.5134,13.4993
Path_28,15.1671,15.6391,15.2787,14.8446,15.3466,15.3466,15.3466,15.4821,15.5655,16.0947,16.1407,16.0634,16.0153,15.8736,15.6531,16.1154,16.0496,16.2535,16.4732,16.3761,16.2816,16.4688,16.3200,16.4188,15.8108,15.8830,15.5994,14.9323,14.6373,14.5883,14.0834
Path_29,15.1671,15.8194,15.8194,15.4090,15.1122,15.1604,14.8424,15.0249,14.7484,14.0353,13.9602,13.4357,12.7521,12.8415,13.3551,12.5027,11.8421,11.9075,12.0768,12.9756,12.3426,12.1069,12.1069,12.2091,12.3595,12.3263,12.3693,12.5566,12.1786,12.3868,12.1928
Path_30,15.1671,15.2343,15.1624,14.9646,14.2622,14.1120,14.1120,15.0527,15.3689,15.3509,15.3038,15.1929,14.9125,15.1938,15.1938,15.2440,14.8654,15.0718,14.8026,14.2522,14.6273,14.6870,14.3873,14.3873,14.7919,14.9757,16.0988,16.2034,16.1284,16.0205,16.3835
Path_31,15.1671,14.6263,14.7244,14.5622,14.7545,15.1835,14.6321,14.0968,14.2055,14.2055,14.2993,13.8787,13.9486,13.9486,13.8401,13.9240,13.9240,14.8130,15.0733,15.0733,15.5187,15.5187,15.5029,15.2308,15.3397,15.0114,14.7763,14.8224,14.0813,13.9668,14.0873
Path_32,15.1671,14.8361,14.4943,14.3637,14.1642,14.0422,14.1234,14.2363,14.4181,14.4181,14.5133,14.3990,13.7643,13.7643,14.1772,13.9662,13.4699,13.7573,14.0137,14.0137,13.8950,14.0254,13.5399,13.4390,13.7565,13.8702,13.9362,13.8398,13.7123,13.3417,13.3417
Path_33,15.1671,15.2879,15.6564,15.4669,15.3257,16.2466,16.2466,16.5621,17.7980,18.4499,18.3984,18.6987,18.6010,18.6010,18.9465,19.1230,19.3611,18.9659,18.5308,18.8108,19.0734,19.2958,19.6761,19.9604,20.0655,20.0215,19.9982,20.1767,20.5922,20.4280,20.9077
Path_34,15.1671,15.0257,16.1431,15.5428,15.2961,15.4890,15.3584,15.2553,14.6584,14.4459,14.3427,14.1845,14.1194,14.3155,14.8736,14.6966,14.5553,14.9523,14.7689,14.9464,14.9464,15.0216,15.3152,15.6617,15.5988,15.6612,15.7506,14.7311,14.9357,15.0071,15.1875
Path_35,15.1671,15.4665,16.0695,16.3400,16.1271,15.9000,15.7622,15.4107,15.4107,15.4605,15.8025,16.9721,16.7582,16.4162,16.7293,16.2085,16.8319,16.8319,18.0974,18.1731,18.8831,19.4385,20.4509,20.6894,19.8321,21.0237,20.7042,21.1563,20.9918,21.6994,21.4441
Path_36,15.1671,15.4033,15.3479,16.0066,15.9584,15.6912,15.6912,15.6501,16.1118,16.1118,16.5834,16.5345,16.5345,16.7321,16.6578,17.1685,16.4763,16.4037,16.4864,16.4177,16.7846,16.7367,16.5818,16.6836,16.6199,16.6940,17.2763,18.4071,18.5696,18.5696,18.4543
Path_37,15.1671,15.3739,16.2651,16.1522,16.6474,17.4041,17.1824,17.0766,16.9103,16.5590,16.6806,16.7722,17.4275,18.2443,17.9920,18.2767,18.4448,19.1474,20.1049,20.3788,19.6851,19.5290,19.0913,19.5062,19.3266,20.7570,20.7325,19.9311,19.8757,19.9171,20.3773
Path_38,15.1671,15.1204,14.7699,14.4917,14.6184,14.4484,14.2532,14.2532,15.3079,15.3559,15.7539,15.9002,16.0751,16.1691,15.5937,15.9981,16.0957,16.1932,16.5394,16.5394,16.7459,16.7933,16.3488,16.3488,16.4565,16.7941,16.8469,16.8469,16.5763,16.5324,16.0771
Path_39,15.1671,15.5747,15.4847,15.5932,15.6569,15.7858,16.0317,15.3480,15.2271,15.1327,15.3178,15.5077,15.5077,16.3154,16.2688,16.4450,15.4360,15.3144,14.9006,14.6002,14.4221,14.4221,15.4955,15.4955,15.6459,16.0745,16.1995,17.4076,17.1979,16.5886,16.5368
Path_40,15.1671,14.8696,15.0018,14.8194,14.9156,15.0744,14.4498,13.9379,13.8266,13.6091,13.9559,13.9559,13.8387,13.7805,13.7805,13.7643,13.6801,13.5918,13.8324,13.9984,15.0339,14.9065,15.3514,15.7034,15.7579,15.8791,16.5287,16.9729,16.8108,16.7424,16.9188
Path_41,15.1671,15.1849,15.4842,15.6280,15.6280,16.7831,16.6797,16.8356,16.5107,16.5892,16.1367,15.9953,15.8830,15.6582,15.0927,15.4071,14.9402,14.6947,14.7977,14.7782,15.4264,15.0308,15.2210,14.9321,13.9749,13.9749,14.7308,14.5394,14.3649,14.2326,14.1866
Path_42,15.1671,15.1268,14.9402,15.0221,14.8889,15.3924,15.3159,15.6378,15.1707,14.3594,14.1552,14.1552,14.0639,15.1187,15.1724,15.5425,16.0957,16.2429,16.0186,15.9796,15.4073,15.0375,14.9191,14.8031,15.1067,15.1067,15.2139,15.1663,15.4507,15.3667,15.2335
Path_43,15.1671,15.3164,15.3493,15.2103,14.9129,14.9997,14.2103,14.3571,14.2463,14.5494,14.4261,14.1006,14.3702,15.0006,15.2496,15.1300,15.1300,15.1300,15.3751,15.6708,15.2069,14.6468,14.8590,14.7971,14.8127,15.0197,14.9394,14.8139,14.9190,15.0861,15.3399
Path_44,15.1671,14.7634,14.6957,14.3402,14.1377,14.2810,13.9009,13.7772,14.1265,14.0395,13.5842,13.3156,13.3905,13.5889,13.5746,13.7020,13.6504,13.8898,14.0110,14.0110,14.3570,14.2856,14.2856,13.8642,13.9555,14.2216,14.3633,13.5951,14.0182,14.4393,14.5526
Path_45,15.1671,15.1245,15.1445,15.1662,15.7930,16.4038,16.8570,16.9250,17.1284,17.0278,16.7403,16.9333,16.7291,16.7901,16.8870,17.0995,16.5402,16.6420,16.6787,16.7242,16.3703,16.3964,16.0929,16.3555,16.5925,16.4430,16.1778,16.2375,16.2962,16.3469,16.4431
Path_46,15.1671,14.8449,14.7466,14.7012,15.0464,14.9623,15.0469,14.9151,14.9839,15.1057,14.1233,14.0533,14.1099,14.1099,14.0532,13.9069,13.7303,13.4588,13.6004,13.5172,13.5172,13.6580,12.7874,12.7695,12.5072,11.7345,12.0386,12.0245,12.0245,11.9872,12.0199
Path_47,15.1671,15.2310,15.5853,15.4964,15.4528,15.1818,15.3204,14.8386,14.5475,14.3473,14.1809,14.1809,14.6070,14.6070,13.6795,13.8327,14.0987,15.0631,15.1507,15.5305,15.0144,15.0569,15.0124,14.9597,14.9152,14.9814,14.8026,15.0561,14.6700,14.3643,14.5007
Path_48,15.1671,15.2734,15.3971,15.4481,15.5224,15.9632,15.5375,15.5889,15.7141,15.8419,15.5478,16.6837,15.6202,15.4758,16.0318,16.0318,17.2343,18.5315,18.9789,18.6037,18.2639,18.9295,18.2074,18.7554,19.2220,19.7995,20.2481,20.2481,20.2244,20.7218,20.9177
