Path,Final_Price
1,14.0017
2,14.6908
3,14.5861
4,15.9238
5,17.9574
6,16.2515
7,12.7153
8,14.2578
9,17.2911
10,15.2026
11,13.4804
12,14.6386
13,15.6250
14,14.9105
15,13.3711
16,14.1248
17,17.2554
18,13.1340
19,15.9599
20,17.2529
21,14.5765
22,16.6641
23,18.3847
24,17.9683
25,15.2001
26,14.3920
27,13.4993
28,14.0834
29,12.1928
30,16.3835
31,14.0873
32,13.3417
33,20.9077
34,15.1875
35,21.4441
36,18.4543
37,20.3773
38,16.0771
39,16.5368
40,16.9188
41,14.1866
42,15.2335
43,15.3399
44,14.5526
45,16.4431
46,12.0199
47,14.5007
48,20.9177
49,15.0496
50,13.2212
51,12.8761
52,18.8620
53,14.7687
54,15.7454
55,14.3180
56,14.4902
57,15.4367
58,14.1036
59,16.5583
60,19.3104
61,19.1911
62,14.1027
63,19.5345
64,17.5181
65,14.8917
66,15.7403
67,13.7560
68,16.3468
69,11.1419
70,14.0624
71,15.2834
72,17.1982
73,12.3151
74,16.6348
75,16.2781
76,17.6049
77,19.3834
78,14.2154
79,15.5303
80,11.8013
81,11.8051
82,16.5372
83,15.0750
84,14.4903
85,13.3592
86,15.9448
87,18.7181
88,13.9019
89,17.4422
90,15.0684
91,15.2195
92,14.0950
93,14.5394
94,16.8973
95,17.3795
96,19.0847
97,13.7528
98,13.6564
99,13.1168
100,14.1469
101,15.3345
102,17.5564
103,18.6052
104,15.0503
105,14.5259
106,14.0623
107,18.5494
108,17.1488
109,15.7722
110,13.1797
111,14.0681
112,13.9979
113,16.1487
114,16.7666
115,12.1342
116,12.3661
117,12.2008
118,14.1834
119,14.2357
120,15.1867
121,14.5222
122,16.1062
123,20.2061
124,13.8299
125,13.9454
126,13.5363
127,13.9054
128,14.8344
129,18.2483
130,16.7691
131,18.3254
132,14.0724
133,13.2556
134,15.5051
135,16.7386
136,16.2208
137,16.7227
138,11.9105
139,15.3720
140,14.7262
141,12.3123
142,15.2474
143,14.2356
144,14.5516
145,15.6326
146,18.3561
147,13.8584
148,19.2477
149,18.0906
150,14.5500
151,13.1364
152,16.6570
153,13.9999
154,17.5048
155,17.8782
156,16.4547
157,11.5967
158,15.4793
159,14.3619
160,14.1715
161,13.6708
162,15.6955
163,17.2733
164,13.0609
165,20.0007
166,16.4122
167,15.4019
168,15.3315
169,13.0368
170,13.0047
171,12.6059
172,16.9840
173,14.0926
174,15.1398
175,14.4341
176,16.8736
177,16.2298
178,18.3832
179,17.9391
180,15.3128
181,16.2263
182,14.6950
183,13.9391
184,13.0696
185,18.2928
186,14.7465
187,16.6165
188,16.3810
189,17.3206
190,18.0661
191,15.6167
192,17.0366
193,13.4234
194,17.3721
195,19.0103
196,17.0519
197,12.1668
198,20.5560
199,13.4769
200,14.1364
201,17.7016
202,19.5256
203,15.8839
204,17.6634
205,15.3183
206,17.2544
207,15.1987
208,15.1552
209,12.6651
210,21.2784
211,15.9861
212,15.9097
213,13.6249
214,14.0354
215,21.5297
216,16.3352
217,16.5619
218,15.0086
219,14.3338
220,17.9357
221,15.3735
222,14.2108
223,9.7781
224,15.1052
225,13.3472
226,19.6380
227,14.6698
228,17.1965
229,16.3673
230,16.8730
231,14.1254
232,14.0556
233,13.3480
234,16.4233
235,16.2056
236,15.4670
237,15.4381
238,14.9753
239,18.2288
240,17.0543
241,18.0913
242,13.7644
243,17.4479
244,15.0170
245,19.2938
246,16.5740
247,16.0934
248,13.4730
249,20.3350
250,16.4795
251,14.7363
252,18.4292
253,14.9827
254,15.9614
255,15.7803
256,15.4605
257,13.3212
258,17.3537
259,13.0062
260,15.5332
261,19.9807
262,11.7969
263,18.4637
264,18.9152
265,16.7522
266,15.6636
267,18.6012
268,13.2812
269,14.3054
270,12.2250
271,13.6848
272,11.6479
273,14.9318
274,15.4865
275,20.1998
276,15.5003
277,17.2470
278,13.4817
279,16.4236
280,11.2139
281,18.6887
282,14.3129
283,17.3703
284,17.0088
285,14.9864
286,16.5787
287,18.3990
288,14.8710
289,16.6689
290,13.9329
291,18.7408
292,14.5864
293,16.2372
294,14.4637
295,14.5712
296,12.8385
297,15.6866
298,15.9443
299,16.8872
300,16.2319
301,13.4813
302,14.3402
303,16.9275
304,14.7524
305,12.6017
306,14.5356
307,14.6636
308,12.1791
309,18.2601
310,13.2826
311,14.3841
312,13.5056
313,14.2851
314,14.8028
315,20.2404
316,13.2415
317,15.7669
318,16.0125
319,16.8199
320,13.3328
321,14.7631
322,16.8552
323,17.8292
324,15.1848
325,14.1547
326,16.3168
327,14.6906
328,16.9222
329,17.5010
330,16.2904
331,14.9376
332,15.1006
333,16.7876
334,15.2669
335,16.5922
336,15.1314
337,16.4970
338,13.8668
339,17.7770
340,17.3401
341,14.7344
342,16.0136
343,17.3073
344,14.9650
345,13.9144
346,18.6276
347,16.9038
348,18.5768
349,16.1943
350,14.3550
351,16.6701
352,15.6153
353,16.9898
354,11.6105
355,15.8608
356,15.6079
357,16.3607
358,17.1550
359,17.9256
360,18.3432
361,18.3384
362,14.4687
363,13.2963
364,15.3763
365,17.8348
366,12.8392
367,15.8179
368,14.0696
369,15.0697
370,17.0695
371,16.5190
372,15.4341
373,18.2135
374,15.6535
375,18.3050
376,15.9731
377,12.2072
378,16.5292
379,15.6897
380,16.9149
381,12.6504
382,14.6572
383,17.1304
384,15.3136
385,13.1946
386,17.0975
387,15.5765
388,17.0210
389,15.2829
390,17.2931
391,14.6199
392,18.6074
393,12.3419
394,14.9448
395,18.8595
396,16.0090
397,16.0126
398,19.3189
399,14.5950
400,15.0223
401,17.2607
402,15.4215
403,15.2533
404,15.4704
405,14.0534
406,14.2382
407,17.0739
408,13.5700
409,15.3307
